_id,posting
60255d6b42bcfd13d83c0780,neutral
60255d9042bcfd13d83c0781,happy
60255dca42bcfd13d83c0782,
60255de842bcfd13d83c0783,
60255e1b42bcfd13d83c0784,happy
60255e5242bcfd13d83c0785,neutral
60255ebf42bcfd13d83c0786,surprise
60255f0842bcfd13d83c0787,happy
60255f3142bcfd13d83c0788,happy
60255f5f42bcfd13d83c0789,
60255f7f42bcfd13d83c078a,
60255faa42bcfd13d83c078b,sad
60255fce42bcfd13d83c078c,happy
60255ff142bcfd13d83c078d,neutral
6025601342bcfd13d83c078e,happy
6025603842bcfd13d83c078f,happy
6025606242bcfd13d83c0790,happy
6025608d42bcfd13d83c0791,happy
602560b142bcfd13d83c0792,neutral
602560d442bcfd13d83c0793,sad
602560fd42bcfd13d83c0794,happy
6025612042bcfd13d83c0795,fear
6025616342bcfd13d83c0796,happy
6025619c42bcfd13d83c0797,angry
602561f342bcfd13d83c0798,neutral
6025627642bcfd13d83c0799,disgust
602562d742bcfd13d83c079a,
